n,working_set_mib,repeats,naive_ms,optimized_ms,speedup,max_diff
64,0.032227,16384,0.016552,0.015710,1.053622,0.000000
128,0.126953,8192,0.068211,0.063193,1.079419,0.000000
192,0.284180,2048,0.157199,0.151791,1.035630,0.000000
256,0.503906,1024,0.275245,0.299382,0.919378,0.000000
320,0.786133,1024,0.431098,0.428026,1.007176,0.000000
384,1.130859,512,0.624407,0.395887,1.577236,0.000000
448,1.538086,512,0.860863,0.627102,1.372763,0.000000
512,2.007812,256,1.380255,0.782108,1.764788,0.000000
640,3.134766,256,1.821065,1.407736,1.293612,0.000000
768,4.511719,128,2.813842,1.757580,1.600976,0.000000
896,6.138672,128,3.719873,2.370575,1.569186,0.000000
1024,8.015625,64,5.807597,3.851039,1.508060,0.000000
1280,12.519531,64,10.616069,5.573033,1.904900,0.000000
1536,18.023438,32,16.052900,6.793741,2.362896,0.000000
1792,24.527344,32,22.285700,10.810678,2.061453,0.000000
2048,32.031250,32,44.339875,12.146128,3.650536,0.000000
